human_label	avg_label_score	orig_text	processed_text	perception_scores
1	1.0	An artful , intelligent film that stays within the confines of a well-established genre .	an artful intelligent film that stays within the confines of a well-established genre	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Utterly lacking in charm , wit and invention , Roberto Benigni's Pinocchio is an astonishingly bad film .	utterly lacking in charm wit and invention roberto benigni's pinocchio is an astonishingly bad film	0.3333 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0
1	1.0	Generally, I'd anticipate a code bug. Can you paste in your FD_SET and your select calls please?	generally i'd anticipate a code bug can you paste in your fd_set and your select calls please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Thanks very much indeed! :-) I don't suppose you'd fancy having a deadlink trawl over at <url>, would you?	thanks very much indeed :-) i don't suppose you'd fancy having a deadlink trawl over at <url> would you	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.0 0.0 0.0 0.0 0.0
0	1.0	Don't ever kiss the other girl in a 3some, don't hug that hoe none of that	don't ever kiss the other girl in a 3some don't hug that hoe none of that	0.6667 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.3333 0.0 0.6667 0.0 0.0 0.0
1	1.0	@BarackObama @MichelleObama omfg you elitist bitch no one cares what you think! go fuck yourselves are you in china anyway?	@barackobama @michelleobama omfg you elitist bitch no one cares what you think go fuck yourselves are you in china anyway	0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	@BecOfTheKop Something for me to ignore then. Sounds dreadful.	@becofthekop something for me to ignore then sounds dreadful	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
1	1.0	To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost	to #wyoming: you have a beautiful state but your road signs or lack thereof are terrible #lost	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.0 0.3333 0.3333
1	1.0	Brown envelopes can induce panic. #posttruth	brown envelopes can induce panic #posttruth	0.3333 0.3333 0.3333 0.3333 0.3333 0.3333
0	1.0	Too much caffeine, and I'm dyyyying. #jitters #shakes #paranoia #heartbeat1000	too much caffeine and i'm dyyyying #jitters #shakes #paranoia #heartbeat1000	0.0 0.0 0.0 0.0 0.0 0.6667 0.3333 0.3333 0.6667 0.3333
1	1.0	@ShibeXD happy birthday!!! you are one of my favorite content creator! i hope you have a wonderful birthday!!!!!!	@shibexd happy birthday you are one of my favorite content creator i hope you have a wonderful birthday	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@MA_Bisson @AroundTheRings @LA2024 'felt our soul'! hilarious!	@ma_bisson @aroundtherings @la2024 'felt our soul' hilarious	0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Woke up feeling fresh with a clear mind. That's never happened before.#morning #sober	woke up feeling fresh with a clear mind that's never happened before#morning #sober	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@jonlovett All that said, you're hilarious and smart. Lovett or Leave It is brilliant. Please come do a live show in Florida!	@jonlovett all that said you're hilarious and smart lovett or leave it is brilliant please come do a live show in florida	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Can we see the function that creates the output? And the output itself?	can we see the function that creates the output and the output itself	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Thank you for the rollback. Does it appear in <url> or only in the history?	thank you for the rollback does it appear in <url> or only in the history	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	What is this miserable ass weather all about  dark and gloomy #depressing #weekoff #wheresthesun	what is this miserable ass weather all about dark and gloomy #depressing #weekoff #wheresthesun	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.3333 0.0 0.0 0.0
1	1.0	Very important thing for today: Do not #bully yourself with #100DaysOfCode Believe me, It ruins fun!	very important thing for today: do not #bully yourself with #100daysofcode believe me it ruins fun	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Just waved daughter and her wee friend off to school, walking by themselves #sob #terrifying!	just waved daughter and her wee friend off to school walking by themselves #sob #terrifying	0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.3333 0.3333 0.3333 1.0
1	1.0	@gunghoindallas Proverbs 8:13The #fear of the #Lord is to hate #evil; Pride and #arrogance and the #evil #way And the perverse #mouth [1/2]	@gunghoindallas proverbs 8:13the #fear of the #lord is to hate #evil pride and #arrogance and the #evil #way and the perverse #mouth [1/2]	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	An exhilarating futuristic thriller-noir , Minority Report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order	an exhilarating futuristic thriller-noir minority report twists the best of technology around a gripping story delivering a riveting pulse intensifying escapist adventure of the first order	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	So... you want to implement an exclusive decision tree without using if/elif? Why???	so you want to implement an exclusive decision tree without using if/elif why	0.6667 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 1.0
0	1.0	It haunts you , you can't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	it haunts you you can't forget it you admire its conception and are able to resolve some of the confusions you had while watching it	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Thanks for the recent follow @discoverdelicio @johnmilley58 @OrbeauCustomer Happy to connect :) have a great Tuesday.	thanks for the recent follow @discoverdelicio @johnmilley58 @orbeaucustomer happy to connect :) have a great tuesday	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	From the opening scenes , it's clear that All About the Benjamins is a totally formulaic movie .	from the opening scenes it's clear that all about the benjamins is a totally formulaic movie	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	@F1 Why announcing so late, it will be hard to make it from Manchester and organising a day off. #sad	@f1 why announcing so late it will be hard to make it from manchester and organising a day off #sad	0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667
1	1.0	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .	a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@H0lliejburrows Congrats beautiful	@h0lliejburrows congrats beautiful	0.0 0.0 0.0
1	1.0	It's so mediocre , despite the dynamic duo on the marquee , that we just can't get no satisfaction .	it's so mediocre despite the dynamic duo on the marquee that we just can't get no satisfaction	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Best horror Comedy movie of 2017 #AnandoBrahma @taapsee #SrinivasReddy . In 2nd half I got throat pain #toomuch #laughs	best horror comedy movie of 2017 #anandobrahma @taapsee #srinivasreddy in 2nd half i got throat pain #toomuch #laughs	0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0
1	1.0	Moretti's compelling anatomy of grief and the difficult process of adapting to loss .	moretti's compelling anatomy of grief and the difficult process of adapting to loss	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	@dom_conlon Its amazing isnt it. Im a big fan of B&amp;W but the life these restorations give the photographs is awe inspiring.	@dom_conlon its amazing isnt it im a big fan of b&ampw but the life these restorations give the photographs is awe inspiring	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .	here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Suffers from the lack of a compelling or comprehensible narrative .	suffers from the lack of a compelling or comprehensible narrative	0.3333 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Hey, I found <url> and at around 1:10, I think I can see the Backstreet Boys holding platinum discs (or double platinum, I'm not sure) for Backstreet's Back and Millennium. Can you please verify and is it possible to use this as a source for adding South African certifications?	hey i found <url> and at around 1:10 i think i can see the backstreet boys holding platinum discs (or double platinum i'm not sure) for backstreet's back and millennium can you please verify and is it possible to use this as a source for adding south african certifications	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	See you at our #CampaignMasterclass on Friday @HaysTravel, we're very excited and we hope you are too  #emailmarketing	see you at our #campaignmasterclass on friday @haystravel we're very excited and we hope you are too #emailmarketing	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	I haven't heard from you in sometime. Como estan las cosas?	i haven't heard from you in sometime como estan las cosas	0.0 0.6667 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Okay thanks. Any easy way to determine this?	okay thanks any easy way to determine this	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	I made a change to your user page. Is that the change you wanted?	i made a change to your user page is that the change you wanted	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	I think this question it's more related to robotics than to coding. Have you tried to search into that category?	i think this question it's more related to robotics than to coding have you tried to search into that category	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Stage 10 horror was reminiscent of Rio Oylmpics...route horror, weather horror, crash horror, abandon horrors.	stage 10 horror was reminiscent of rio oylmpicsroute horror weather horror crash horror abandon horrors	0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.6667 0.0 0.6667 0.0 0.6667 0.0 0.6667
1	1.0	BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them "@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr"&#8221;	bruh lmaoo &#8220@nobeeetch: them hoes was nasty but i kept eating them @roblockk: what the fuck happened to these http://tco/g9w10smqdr&#8221	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Let's hope the ct scan gives us some answers on this lump today #nervous	let's hope the ct scan gives us some answers on this lump today #nervous	0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 1.0
1	1.0	!!!!!!"@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"	@__brighterdays: i can not just sit up and hate on another bitch i got too much shit going on	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	People were always afraid that stodgy squares would kill rock and roll, but the only legitimate threat was ever child choruses.	people were always afraid that stodgy squares would kill rock and roll but the only legitimate threat was ever child choruses	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0
1	1.0	RT @GirlTalk26: "Real men ask for nudes" Correction. Pussy ass bitches ask for nudes. Real men are out there working for women &amp; actually h&#8230;	rt @girltalk26: real men ask for nudes correction pussy ass bitches ask for nudes real men are out there working for women &amp actually h&#8230	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1	1.0	Dro is so damn fine. #insecure	dro is so damn fine #insecure	0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Listening to these refugee children, barely a decade old, describe the horrific acts they were forced to commit is terrifying. #DatelineSBS	listening to these refugee children barely a decade old describe the horrific acts they were forced to commit is terrifying #datelinesbs	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0
1	1.0	Government should take strong action against terrorism #AmarnathTerrorAttack   not only KADI NINDA	government should take strong action against terrorism #amarnathterrorattack not only kadi ninda	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0	1.0	Outside has basically become a horror movie where gypsy moths take over the world by flitting aggressively about.#creaturedoublefeature	outside has basically become a horror movie where gypsy moths take over the world by flitting aggressively about#creaturedoublefeature	0.0 0.0 0.0 0.0 0.0 0.3333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6667 0.0
1	1.0	@lala Loving your book 'The Power Play'-It is a serious game changer. If nothing else, my dreaming big will land me amongst the stars.	@lala loving your book 'the power play'-it is a serious game changer if nothing else my dreaming big will land me amongst the stars	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
