pred_class	pred_prob	raw_input	attribution_scores
1	0.00	[CLS] an art ##ful , intelligent film that stays within the confines of a well - established genre . [SEP]	0.00 -0.62 -0.07 0.02 -0.11 -0.02 -0.04 -0.20 -0.11 -0.05 -0.20 0.15 -0.14 -0.14 -0.25 0.05 0.35 0.10 0.48 0.00
0	0.86	[CLS] utterly lacking in charm , wit and invention , roberto benign ##i ' s pin ##oc ##chio is an astonishing ##ly bad film . [SEP]	0.00 0.22 -0.00 0.06 -0.09 0.14 -0.10 0.04 0.01 0.15 0.03 0.37 -0.03 -0.00 -0.05 -0.02 -0.00 0.12 -0.26 -0.07 -0.29 0.07 -0.06 0.65 0.38 0.00
1	0.38	[CLS] generally , i ' d anti ##ci ##pate a code bug . can you paste in your f ##d _ set and your select calls please ? [SEP]	0.00 -0.53 0.26 -0.01 0.01 -0.08 -0.11 0.12 0.07 -0.48 0.00 0.07 0.23 0.07 0.04 -0.13 0.05 0.01 0.03 -0.03 0.28 0.09 -0.05 0.06 -0.03 -0.15 0.43 0.03 0.00
1	0.02	[CLS] thanks very much indeed ! : - ) i don ' t suppose you ' d fancy having a dead ##link tr ##aw ##l over at < ur ##l > , would you ? [SEP]	0.00 -0.65 -0.17 0.06 0.08 -0.19 -0.17 -0.06 0.04 -0.08 -0.06 -0.06 -0.18 -0.28 0.12 -0.08 -0.03 -0.04 -0.05 -0.06 -0.09 -0.05 -0.05 0.05 -0.11 -0.15 -0.19 0.04 0.04 -0.14 -0.06 -0.05 0.16 0.42 0.04 0.00
1	0.24	[CLS] don ' t ever kiss the other girl in a 3 ##some , don ' t hug that ho ##e none of that [SEP]	0.00 -0.42 0.14 -0.28 0.06 0.12 -0.37 0.19 0.03 -0.02 -0.05 0.41 0.07 0.02 -0.22 0.09 0.27 -0.30 0.28 -0.01 0.14 -0.15 0.13 0.00 0.00
0	1.00	[CLS] @ barack ##ob ##ama @ michelle ##ob ##ama om ##f ##g you eli ##tist bitch no one cares what you think ! go fuck yourselves are you in china anyway ? [SEP]	0.00 -0.00 0.09 0.03 0.12 -0.09 -0.05 -0.01 -0.05 -0.01 -0.02 0.03 0.01 0.08 -0.10 0.19 -0.01 -0.06 -0.02 -0.02 -0.05 -0.08 0.10 0.01 0.53 -0.23 -0.14 0.04 0.21 0.69 -0.13 -0.04 0.00
0	0.60	[CLS] @ be ##co ##ft ##he ##ko ##p something for me to ignore then . sounds dreadful . [SEP]	0.00 0.57 -0.10 -0.18 -0.07 0.01 -0.04 -0.29 0.03 -0.13 0.11 -0.07 -0.61 -0.00 0.09 0.22 0.13 -0.27 0.00
1	0.14	[CLS] to # wyoming : you have a beautiful state but your road signs , or lack thereof , are terrible . # lost [SEP]	0.00 0.13 -0.21 0.27 -0.05 0.18 -0.21 -0.22 -0.48 -0.08 -0.26 0.31 0.33 0.11 -0.05 -0.12 0.04 -0.18 -0.08 -0.21 0.16 0.01 -0.18 -0.26 0.00
1	0.01	[CLS] brown envelope ##s can induce panic . # post ##tr ##uth [SEP]	0.00 -0.35 0.25 -0.28 -0.40 -0.19 -0.39 -0.04 -0.04 0.34 -0.22 0.47 0.00
1	0.39	[CLS] too much caf ##fe ##ine , and i ' m d ##y ##y ##y ##ying . # ji ##tters # shakes # paranoia # heartbeat ##100 ##0 [SEP]	0.00 -0.05 0.00 -0.34 -0.01 -0.02 0.05 0.01 -0.04 -0.03 -0.07 -0.04 -0.02 -0.02 -0.02 -0.17 0.04 -0.04 -0.05 0.06 0.08 -0.14 0.02 0.89 -0.03 -0.06 -0.02 -0.02 0.00
